title,views,likes,dislikes
Meet Monica Velour,351252.0,180.0,30.0
Melancholia,8789038.0,12235.0,1252.0
Mere Brother Ki Dulhan,2292010.0,2921.0,362.0
Metro,1418582.0,1973.0,175.0
Micmacs,254208.0,519.0,11.0
Middle Men,210536.55555555556,155.22222222222223,12.555555555555555
Midnight Special,1407750.0,3840.6666666666665,253.66666666666666
Midnight in Paris,721337.0,1576.0,59.0
Million Dollar Arm,1827991.0,5261.0,201.0
Minions,22332580.333333332,64419.333333333336,5542.666666666667
Miracles from Heaven,7221838.0,32635.0,1471.0
Miss Sloane,1280513.5,1006.0,665.0
Mohenjo Daro,18278429.5,60682.0,4731.0
Mommy,1283043.0,3431.0,116.0
Money Monster,2787420.0,3740.5,384.5
Moneyball,4821136.0,5074.0,296.0
Monogamy,36451.0,46.0,2.0
Monster Hunt,66302.0,12.0,3.0
Monster Trucks,806131.3333333334,1905.5,561.6666666666666
Monsters vs Aliens,54298.0,52.0,10.0
Monte Carlo,12633197.0,34996.0,1893.0
Moonlight,1056540.7333333334,3189.0666666666666,346.06666666666666
Moonrise Kingdom,960682.0,3788.5,65.0
Morgan,2423064.0,4994.0,585.6666666666666
Mortdecai,2228830.0,4635.0,260.0
Movie 43,1548013.0,2637.0,402.0
Mud,506629.0,534.0,33.0
Mustang,84747.0,131.0,6.0
My All American,2506228.0,418.0,39.0
My Big Fat Greek Wedding 2,1616976.5,1855.25,105.0
My Life as a Zucchini,6233.0,19.0,4.0
My Life in Ruins,1913762.0,2044.0,197.0
My Name Is Khan,2944574.0,15227.0,489.0
My Old Lady,555100.0,823.0,66.0
My Soul to Take,249441.0,375.0,29.0
My Week with Marilyn,484238.0,1492.0,39.0
Mysteries of Lisbon,114851.0,154.0,8.0
Nebraska,1131404.0,1314.0,94.0
Need for Speed,2438194.5,8846.666666666666,357.1666666666667
Neerja,7983319.0,36371.0,1598.0
Neighbors,1441974.0,2364.0,122.0
Neon Bull,65101.0,103.0,12.0
Nerve,2255113.3333333335,6118.166666666667,333.8333333333333
Never Let Me Go,14010447.0,37492.0,972.0
Nine,220786.0,477.0,41.0
Nine Lives,965299.0,1955.0,1655.0
Ninja Assassin,3541791.0,5102.0,277.0
No Escape,6133862.0,9049.0,799.0
No Good Deed,1599620.5,2977.5,187.0
No One Lives,375845.0,503.0,33.5
Noah,911468.5,3241.0,272.75
Nocturnal Animals,3684255.5,5594.0,819.5
Now You See Me,413598.0,28.0,2.0
Now You See Me 2,7962254.666666667,39890.0,884.0
Oblivion,2426686.6666666665,5417.666666666667,284.0
Oculus,214935.72727272726,85.9090909090909,6.7272727272727275
Of Gods and Men,100459.5,106.5,5.5
Office Christmas Party,1267697.2,701.2,116.0
Officer Down,1214405.0,510.0,290.0
Old Dogs,1996650.0,2387.0,279.0
Oldboy,8834217.0,10431.0,2178.0
Olympus Has Fallen,7917475.0,14058.0,1629.0
On the Job,438265.0,809.0,54.0
On the Road,299375.0,646.0,32.0
Ondine,290042.0,816.0,12.0
One Day,6429353.0,23277.0,481.0
One for the Money,285879.0,37.0,8.0
Only God Forgives,1527202.0,3660.0,362.0
Only Lovers Left Alive,2110976.0,5368.0,199.0
Open Road,2968.0,8.0,2.0
Ouija,3978702.0,4577.0,496.0
Our Brand Is Crisis,4347318.0,4039.0,709.0
Our Family Wedding,1920508.0,2815.0,166.0
Out of the Furnace,2404643.0,4823.0,196.5
PK,824944.0,1554.0,281.0
Pacific Rim,11184059.666666666,34911.0,1594.3333333333333
Paddington,2778081.0,3413.0,748.0
Pan,9517426.0,29614.0,2354.5
Paper Heart,369533.0,750.0,36.0
Paper Towns,5466079.8,41021.2,695.4
ParaNorman,289761.0,764.0,37.0
Paranormal Activity 2,18604171.0,11196.0,1783.0
Paranormal Activity 3,7060.0,3.5,1.0
Paranormal Activity 4,736814.5,1217.1666666666667,238.5
Parental Guidance,765898.0,600.0,125.0
Paris Can Wait,1060083.0,3551.0,543.0
Parker,820045.0,1485.0,86.0
Parkland,1920657.0,3185.0,143.0
Passengers,3414784.6666666665,14496.444444444445,688.0
Passion,6910023.5,8970.5,1387.5
Passion Play,854245.0,852.0,275.0
Paterson,393548.0,54.5,1.75
Patriots Day,1460281.4,2296.6,1514.4
Paul,1188481.0,1592.0,61.0
Pawn Sacrifice,9918.666666666666,32.666666666666664,2.0
