title, weekend_rev, weekend_rev_mean
Pride and Prejudice,38329,2129
La Mission,49046,3270
Mandela,8413,1051
Thunder Birds,2766810,1345
The Ghoul,249,249
Dark Tower,19153698,5550
Supernova,5778639,2534
Peter and Vandy,7323,2441
Trading Mom,68570,1714
InSight,9571,435
Musical Chairs,9092,1010
Oliver Twist,68447,13689
Mosquita y Mari,5070,5070
Graveyard Shift,5082300,3170
Stranded,3077,3077
Oliver Twist,68447,13689
Oblivion,37054485,9795
Hot Water,1512,756
Jack Frost,7104125,3301
Monster,86831,21707
Stick,3358299,2863
Kandahar,22866,7622
Seduction,1503543,2518
I Want You,1242,1242
Warcraft,24166110,7108
Fantastic Four,56061504,15563
Deadpool,9071330,4954
Sidewalks of New York,545132,5506
Stalingrad,10882,10882
Teza,8908,8908
Hotel,12840,6420
Jealousy,5533,5533
Russkies,1030101,1705
Man on Fire,22751490,7634
Voices,21040,10520
Head Office,1937934,2136
Suddenly,5406,5406
The Great Man,2482,2482
Taken,24717037,7765
Suddenly,5406,5406
Red Riding Hood,14005335,4622
Girl Fight,197896,7067
Out of Bounds,2144764,1776
Jewtopia,26371,1648
Invasion,5951409,2143
Immigration Tango,14432,481
Cake,916179,1901
Number One with a Bullet,210761,945
House of Cards,12753,2125
King Lear,8756,8756
Rapture,171603,4766
Switch,3770991,3722
Southie,16860,8430
Suspect,4152015,4035
I Love Trouble,7827002,4574
Limelight,9259,9259
Hansel and Gretel,100477,1703
Journey to the Center of the Earth,21018141,7477
Gunshy,703109,2375
Perfume,37079,12359
Slow Burn,778123,669
Le Joli Mai,10662,3554
Hollidaysburg,1713,1713
Just My Luck,5692285,2240
Hostage,10214734,4811
I Will Follow,56176,11235
Home of the Brave,3185,3185
House of Usher,891,891
Ruby,614327,804
Toys in the Attic,19913,738
Redemption Road,19152,737
Romance,44829,14943
Last Man Standing,7010333,2737
Venus and Serena,10981,2745
Red Heat,8133822,4315
Multiple Sarcasms,16025,1068
Touching Home,47382,15794
New World Order,2790,1395
Kettle of Fish,5594,1864
Winnie Mandela,61847,1933
Superstar,8912743,4587
The Lovers,66286,16572
Skinwalkers,553520,742
Tough Enough,725117,1347
Lovesick,3093281,4308
Mission Park,26839,1789
Hail Caesar,11355225,5087
Hansel and Gretel,100477,1703
Soul Power,23893,3982
Lionheart,7094552,4852
I Ought to Be in Pictures,2170397,3278
Restitution,1779,1779
Against the Sun,3023,275
Tasting Menu,6010,1202
Citizen Koch,10200,10200
Walker,16525,5508
Low Down,5278,5278
Margaret,7525,3763
DRIVE,4715,4715
Mortdecai,4200586,1586
Fifty Shades of Grey,85171450,23360
Expelled,2970848,2824
Trick or Treat,2912687,2298
Signs,60117080,18418
Homework,1366535,5215
Big Sur,16835,1295
Strange Magic,5504441,1823
Fort McCoy,4070,2035
Zodiac,20578,2057
Babar The Movie,297155,582
Of Horses and Men,9565,9565
Ivory Tower,17857,8929
Gerhard Richter Painting,13537,13537
Dream Land,4350,870
Pan,15315435,4357
Ten Little Indians,43436,549
Art and Craft,20879,10440
Brooklyn,187281,37456
Digging for Fire,25000,8333
Don Verdean,12907,323
Experimenter,8682,2894
Seoul Searching,8966,8966
Mississippi Grind,12434,12434
Mistress America,93206,23302
True Story,1950214,2347
Sleeping with Other People,89102,17820
99 Homes,32253,16127
Aloft,2116,1058
Eden,18987,6329
Girlhood,4845,2422
Dope,6100010,3047
I Smile Back,15758,7879
Results,17782,5927
Songs My Brothers Taught Me,3430,3430
Z for Zachariah,56902,1962
Stations of the Cross,688,688
Dangerous Liaisons,84451,28150
In the Basement,748,748
Trojan Eddie,11867,5933
The Invitation,67877,6788
When the Bough Breaks,14202323,6323
Zenith,2347,2347
All Together,12887,1289
Last Days in Vietnam,30500,15250
Manakamana,3635,3635
Lost River,20828,6943
Party Girl,57237,8176
The Prophet,27435,13718
In the Name of My Daughter,14294,4765
Antarctica,20188176,6584
100 Bloody Acres,3419,263
Naked Gun,9331746,5921
Screwballs,210000,2800
Anita,44114,6302
Beer for My Horses,209253,2299
Hercules,249567,249567
Little Monsters,253834,1418
Pulse,8203822,3531
Shadow,11713845,6985
Shadow,11713845,6985
Shadow,11713845,6985
Backroads,3046339,3784
The Hateful Eight,4610676,46107
Stray Dogs,2998,2998
Little Accidents,8649,509
Paper Towns,12650140,4174
Summer House,161542,2692
Once in a Lifetime,9805,9805
Knight of Cups,60551,15138
45 Years,65775,21925
Diary of a Chambermaid,10053,5027
Volcano,14581740,5256
Body,19988,1817
Cloud 9,6617,6617
Everybody Wins,581979,1290
Slam Dance,125349,2667
Timbuktu,45110,11278
Standing Ovation,343125,551
Grizzly Falls,65802,685
Naked,36463,9115
Crimson Peak,13143310,4405
Wasteland,9806,9806
Casanova,119276,3223
Sense and Sensibility,721341,10304
Thicker than Water,61977,558
Universal Soldier,10057084,5249
Impulse,995570,2647
Effie Gray,161728,805
Camp,54294,18098
Broken Bridges,133784,1592
Freeheld,37983,7597
Focus,24139,12069
Merchants of Doubt,20300,5075
Every Thing Will Be Fine,1428,714
Heavy Petting,69007,6900
Personal Tailor,112224,12469
Hank and Asha,6192,6192
Island,3123267,5348
Kids for Cash,36639,9160
Missionary,1864852,3505
Dhobi Ghat,365297,4683
The Adventurers,68614,4036
Spare Parts,1335768,3036
Falcon Rising,8691,869
Bright Days Ahead,4919,1230
Rings,13002632,4436
Gimme the Loot,21065,21065
Run All Night,11012305,3473
Refuge,1274,1274
Rich Hill,9635,9635
Rio,39225962,10252
Road Hard,105943,4816
Jailbait,1890,945
Patty Hearst,601680,1308
The Hollow,2848,237
Two of a Kind,3344942,2688
Hotel,12840,6420
Poltergeist,6896612,7749
Pan,15315435,4357
Insurgent,52263680,13487
Big Game,16909,1537
Midnight Special,190012,38002
Baby,4035147,4405
Southern Baptist Sissies,5200,5200
Boys,270107,823
Futuro Beach,3324,3324
Sal,5375,5375
Backcountry,1005,1005
Bolero,4579240,4511
Beauty and the Beast,162146,81073
Crack House,210162,3136
No Place to Hide,91000,423
Dancers,36112,3009
When the Whales Came,37030,3703
Power Rangers,13104788,5439
Schizo,7834,7834
Child 44,621812,1219
Champions,54262,1391
A Little Chaos,181791,2190
Get Hard,33803253,10647
Filmistaan,31113,1296
That Sugar Film,3500,350
Forgotten,21022111,6772
Phoenix,31579,10526
Closed Curtain,5002,5002
Heat,8445656,6374
Hurricane,384640,34967
Cattle Annie and Little Britches,115679,538
Kill Me Three Times,15477,967
Uzumasa Limelight,10090,776
Jellyfish Eyes,1927,1927
Hardbodies 2,78068,1697
Hardbodies,2684599,1745
Tomboy,1723935,4215
It Takes Two,5564147,3519
Last Resort,37283,2663
Beauty and the Beast,162146,81073
Loaded,12071,6035
Infinitely Polar Bear,47000,9400
Bastards,4432,4432
Puberty Blues,7381,7381
Poison Ivy,119840,5992
Woman in Gold,2091551,8107
Samba,24588,12294
Body Rock,631849,2632
Getting It On,975414,2786
Under the Boardwalk,73406,1129
Copperhead,55625,943
Ballerina,2656,2656
Weather Girl,5772,5772
Good Kill,17750,8875
Hungry Hearts,1869,935
Good Deeds,15583924,7310
Buzzard,8031,730
Adult Beginners,36657,3666
Sylvia,58940,19646
King Lear,8756,8756
King Lear,8756,8756
Nightmares,2572750,2510
Without a Trace,1609448,2232
Breathe,5063,5063
Postmortem,2406,2406
NH10,149546,3739
Lady in White,282652,3140
The Longest Ride,13019686,3868
Man from Reno,15158,3790
Five Dances,5788,5788
Table For Five,148208,3705
Beyond the Reach,30287,1122
Lage Raho Munna Bhai,863073,13278
Monkey Kingdom,4577861,2275
Lovesick,3093281,4308
Danny Collins,72459,14492
Bad Boys,15523358,7281
50 to 1,78480,4131
Happy Valley,27122,3874
GMO OMG,15100,15100
A Royal Night Out,100847,638
Dior and I,45772,22886
All I Want for Christmas,3645720,2419
Falling From Grace,49708,2259
San Andreas,54588173,14453
Regression,33915,339
Welcome to Me,34920,17460
Shoot to Kill,5781628,3846
Rose,793063,18024
Testament of Youth,53000,13250
Girl Rising,81640,2401
Sarfarosh,150429,6267
Appropriate Behavior,19114,1738
Frontera,10962,3654
No Tears for the Dead,8329,8329
Paranoia,3528376,1435
Canopy,3042,3042
Billy the Kid,7923,7923
When Comedy Went to School,17001,3400
Ricki and the Flash,6610961,4124
Blackout,1749,175
Pump,42200,14067
Radio Unnameable,5833,5833
1915,30448,3806
Ride,2513334,5067
The Seven Five,14785,7393
Hush,5742431,2921
Piku,941490,7912
Pitch Perfect 2,69216890,19930
Just Before I Go,8129,4065
Winter People,743032,2493
Macbeth,644,644
Addicted,7485346,8848
Carol,253510,63378
Code Black,6319,6319
Accused,4316369,5422
Black Friday,25000,2500
For Love or Money,4016220,2470
Strangerland,17472,1165
Persecuted,851391,1157
Design Is One,4236,4236
The Lobster,190252,47563
Maggie,131175,1660
Hot Pursuit,1507645,1884
Slow West,67003,1340
Meet the Mormons,2509808,7917
Deli Man,37321,2488
The Fencer,5572,2786
Hurricane,384640,34967
Ballet 422,27653,13827
Oz,79110453,20223
Dark Horse,13551,13551
Shakedown,3017800,1910
Shakedown,3017800,1910
Sweet Sixteen,26667,8889
Up the Creek,3210882,2385
What Love Is,11583,275
5 to 7,18006,9003
Blackbird,6200284,3466
Road,73636,4331
Morgan,2012709,996
Badlapur,227759,2778
Holiday,12778913,4896
Youth,78085,19521
Wake Up Sid,355532,4500
Lakshya,380000,6440
Bhool Bhulaiyaa,512000,9309
Sarkar Raj,642523,9179
Ek Ajnabee,121406,3194
Border,516014,6143
Pingpong,8497,4248
Matilda,8208609,4156
Tempest,80492,20123
Steel,870068,690
Misery Loves Comedy,5300,5300
Song One,20200,748
Autumn,3600,1800
Magnus,1204,1204
Cupcakes,2570,2570
Taxi,12029832,4008
Whiplash,135388,22565
Dragon Blade,30346,2168
Mere Brother Ki Dulhan,403017,5446
I Hate Luv Storys,375297,4415
Entourage,10283250,3309
Happy Ending,198702,1540
5 Flights Up,238491,2741
Documented,5422,5422
Leonie,291,291
Throw Down Your Heart,7283,3642
I Knew Her Well,9312,9312
Circo,5403,5403
Big Time,7347,3674
Metro,11411107,5702
Max,30157,5026
Pixels,24011616,6450
Allegiant,29027348,7761
Number One Fan,1023,1023
Forever,5202,5202
Chocolate City,98829,6589
Skills Like This,9413,9413
Hamari Adhuri Kahani,131263,1959
Mr. Holmes,2434908,6745
Jig,70432,14086
Obsessed,28612730,11381
Guardian,5565620,3305
Gabbar Is Back,279429,2611
Little Boy,2750356,2632
Criminal,283209,3678
Krampus,16293325,5615
Aurora,2105,2105
Bhoot,60000,3157
Pizza,4059,4059
Darna Mana Hai,82347,3167
Rockstar,6018636,2383
Run,2222056,1894
Meet the Fokkens,7628,7628
Solo,2228668,1811
Jungle,54125,2848
The Master,736311,147262
Labyrinth,3549243,3110
Kaminey,726834,8551
Company,93776,8525
Omkara,427400,9093
Baadshah,263084,6263
Koyla,37795,12598
Shootout at Lokhandwala,158227,4653
Josh,282881,9429
Dhoom 3,3423508,14324
Dhoom 2,979001,15539
Shahid,12153,760
Siddharth,4564,4564
Ted 2,33507870,9735
Fortress,4040711,3356
Queen,122014,40671
Minions,115718405,26905
Lower Learning,2550,2550
Premonition,17558689,6202
Journey to the Center of the Earth,21018141,7477
My Big Fat Independent Movie,4655,4655
The Second Mother,24086,8029
American Animal,5928,5928
Freshman Orientation,930,930
Stop the Pounding Heart,2363,2363
Bulletproof,6014400,2685
Macbeth,644,644
Fracture,11014657,4508
Madame Bovary,236113,4540
Bound,900902,3451
Manglehorn,11227,3742
Old Fashioned,38965,12988
Search Party,3073,307
After the Ball,31718,774
Skin Trade,162,162
Moebius,876,876
Faith of Our Fathers,438000,1273
Sweet Dreams,2161284,2778
Love in the Buff,91233,9123
Christian Mingle,19836,1322
3 Nights in the Desert,234,117
The Lovers,66286,16572
Dragonslayer,2407939,2774
Eastern Boys,5726,5726
RISE,59371,942
Mortuary,763184,5227
Jinn,149337,743
Best Friends,4022891,3788
Thousand Pieces of Gold,16553,16553
As It Is in Heaven,2402,2402
Caterpillar,2109,2109
Justice Is Mind,5418,5418
Heaven Knows What,16862,8431
Amy,222500,37083
That Demon Within,77130,6428
Fascination,9018,901
Swimming Upstream,24520,1442
Beloved Sisters,19704,2189
Good Night,12377,6188
Darkness Falls,12024917,4239
Love Comes Lately,14610,2435
Screwed,3342085,1899
Mammoth,4531,4531
Bombay Velvet,390774,1793
Death Sentence,4231321,2322
Silent Tongue,18227,6075
Big Muddy,147,74
Hunger,1832898,2365
House of the Sleeping Beauties,1535,1535
The Teacher,15091,3018
Nothing Bad Can Happen,2853,713
Station to Station,9000,9000
Augustine,13616,2723
Nasty Baby,8023,4012
Paparazzi,6146262,2906
Out of the Blue,728,728
Black and White,2212535,1723
Ex,1394229,1381
Death of a Ghost Hunter,3648,3648
Neshoba,4645,4645
Feast,54556,373
Finding Fanny,515393,4259
Detour,145,29
Trapped,3210765,1441
Trapped,3210765,1441
The Void,50026,1614
My Golden Days,26847,8949
Deep Gold,7000,280
In Another Country,3207,3207
Boulevard,7000,7000
Mustang,20321,6774
Hardflip,49879,2267
Bajrangi Bhaijaan,2621282,10200
Eli,7098,394
Tanu Weds Manu Returns,1006476,7401
Intruder,3527,3527
Identical,1587137,811
Toy Soldiers,4182300,3098
Autumn,3600,1800
Irrational Man,175312,25045
Tale of Tales,8871,4436
Deadly Renovations,42588,3276
Cartel Land,15581,7791
Helena from the Wedding,2692,2692
Always,3713480,3655
Baahubali: The Beginning,3575000,15148
Learning to Drive,66015,16504
Autumn Tale,33631,16815
Southpaw,21381,1125
Sicario,401288,66881
Goodnight Mommy,63641,15910
Before We Go,18630,887
Best of Enemies,50378,16793
Dog Eat Dog,80,80
Chevalier,5968,1989
Anomalisa,135222,33806
Sherlock Holmes,62304277,17183
But Always,144720,7236
Tiny Times,12294,4098
Tiny Times 2,20652,3442
Somewhere Only We Know,304934,6629
Teeth,29521,7380
3 Hearts,11794,11794
Runoff,9515,9515
Our Little Sister,25118,8373
A Bottle in the Gaza Sea,2531,2531
Dreamcatcher,15027423,5102
Room,1840,1840
Kingdom Come,7562284,6806
Set Fire to the Stars,1132,1132
The Witch,8800230,4301
Tales of the Night,7154,7154
Zaytoun,4100,2050
Last Cab to Darwin,620,620
Kung Fu Killer,58664,2095
Admiral,51431,51431
Superman,7465343,14695
Captain America,65058524,17512
Secret in Their Eyes,167866,16787
Sinister 2,10542116,3811
Heart of a Dog,13893,13893
Nancy Drew,6832318,2615
American Ultra,5454284,1963
No Escape,4588736,2602
Straight Outta Compton,60200180,21835
Cop Car,26146,8715
Lassiter,5027583,5320
Happiness Runs,2674,2674
Tangerine,60683,15171
13 Minutes,11750,3917
Every Secret Thing,97020,4851
Women Who Flirt,74052,2848
Match,6000,2000
Holiday,12778913,4896
Joy,17015168,5875
Blindside,34119372,10971
Next Goal Wins,2568,514
Deck the Halls,12001256,3744
Brothers,10302846,7476
FAQs,1407,1407
Guardians,23773465,6508
Bloodwork,7312413,2896
Captive,407804,3089
Flashback,2910116,3325
Flashback,2910116,3325
Out on a Limb,1114255,1585
Tio Papi,16108,767
Equals,9206,4603
Suffragette,76244,19061
Sweet Bean,4630,4630
Rising from Ashes,7298,2433
Wanderlust,6526650,3260
Retrieval,7232,7232
Assassination,2787449,2787
Turbo Kid,31428,1209
Let There Be Light,1729535,4637
We Are Your Friends,1767308,758
War Room,15264,15264
Tom and Jerry,1255912,1201
Legend,4261154,3589
Anesthesia,6747,6747
The Outcasts,1008,92
Phantom,5072346,2349
Queen of Earth,11360,5680
Therapy for a Vampire,3361,1681
Underdog,11585121,3845
Area 51,7556,472
Cooties,33031,1139
Green Room,87984,29328
Last Embrace,376896,1416
Beasts of No Nation,51003,1645
Psychopathia Sexualis,1612,537
Gabriel,2124,2124
Meru,91279,13040
To Save A Life,1581517,3586
Xenia,358,358
The Midwife,21341,7114
Saving Christmas,992087,2420
Oscar,5091027,3667
Knock Knock,18623,847
The Nightmare,13363,835
Welcome to Leith,3707,3707
Fallen,10401586,4249
The Prophet,27435,13718
The Beauty Inside,50536,2197
Life,20414775,7869
Demolition,1100042,1288
Romeos,773,773
Gun Hill Road,37963,12654
Listen to Me Marlon,30068,15034
Proteus,10047,5023
Our Brand Is Crisis,7970,7970
Agneepath,1140464,8640
Cocktail,11789466,8397
The Assassin,47892,11973
Into the Forest,6438,429
Time Out of Mind,18934,6311
A Perfect Man,388,194
On Broadway,8268,1653
Cut Snake,55,55
Monster Hunt,21074,468
Wild City,17181,1562
Spotlight,295009,59002
Viva,48995,3500
Son of Saul,37930,12643
Funny Farm,5655439,3632
Intruders,40746,1235
Pawn Sacrifice,202053,6123
Hardcore Henry,5107604,1694
Heneral Luna,15485,5162
Miss Hokusai,24524,12262
Genius,98274,6142
Lootera,314958,3150
Drunk Wedding,3301,206
Headspace,1430,1430
Tango,78315,15663
Love Is in the Air,4937,823
Apaharan,25168,1480
Garam Masala,395708,9421
Chup Chup Ke,110218,3555
Ricochet,4831181,3096
Breaking Dawn,138122261,34012
Rosenwald,7902,7902
Mediterranea,5846,2923
The Club,6514,3257
Hotel Transylvania 2,48464322,12910
Hidden,2492618,2385
Pure,5154,2577
The Dinner,805,805
Airborne,1262239,1285
Godfather,302393,50398
Wild Life,4001400,3510
Freeheld,37983,7597
By the Sea,96250,9625
The Little Prince,116927,2249
If You Build It,4949,4949
Ashby,4631,309
Dheepan,20249,10125
Marlene,14490,14490
The Cut,5327,1065
Beyond the Mask,18801,1106
Wonder Woman,103251471,24790
Pitch Perfect 3,19928525,5781
A Tale of Love and Darkness,37170,18585
Hyena Road,1430,143
A Bigger Splash,114419,22884
Iris,23144,11572
Where Hope Grows,457287,1657
Where to Invade Next,897034,2912
Eisenstein in Guanajuato,9823,2456
The Summer of Sangaile,453,453
Pennies from Heaven,520000,1650
Mountains May Depart,5550,5550
Say Uncle,2485,2485
Coffee Date,4412,4412
The Witch,8800230,4301
The Invitation,67877,6788
Eden,18987,6329
Cruel World,11160,2232
Mia Madre,34098,5683
Miss Conception,1342,447
Noble,231319,1322
Dolls,2067,2067
Home for the Holidays,4007717,4007
Gone,4770360,2182
Difret,6777,6777
Fighting Back,1624381,1471
Standing Tall,7488,3744
Slow Learners,948,948
Animal,19610520,7033
Once Upon a Time,249933,4901
Holiday,12778913,4896
Unforgiven,15018007,7251
Fists of Legend,49252,2141
Firestorm,3849308,1890
Hidden,2492618,2385
Clockstoppers,10108333,3979
The Master,736311,147262
Control,27674,27674
Coming Soon,3742,3742
Runaway,1198279,1664
Sky High,14631784,5036
Running Man,8117465,4797
Familiar Strangers,11553,5777
Eye For An Eye,6968044,4560
Confessions of a Dangerous Mind,87199,21799
Watchers of the Sky,7473,1868
All Things Must Pass,19001,9501
Goosebumps,23618556,6746
Northern Limit Line,108255,8327
Creative Control,6964,2321
No Place on Earth,13813,6907
Miss You Already,552506,1439
Rock the Kasbah,1470592,731
Housekeeping,32171,16085
Freetown,118553,956
Death Valley,4344,2172
Hide Away,5213455,2743
Go Goa Gone,170044,1848
Phantom Boy,4352,4352
Les Cowboys,13178,3295
Alive,8624292,7618
Pyaar Ka Punchnama 2,107536,2195
Jem and the Holograms,1375320,570
Homeland,560,560
Revelation,39442,2629
Howl,51185,8531
From Mexico With Love,334340,1198
Fireworks,59508,6612
Night At The Golden Eagle,7380,2460
The Dressmaker,185165,5143
Bear,3676530,4285
Dysfunctional Friends,7409,3705
Mommy,473882,7643
Strictly Business,2456772,2788
Forever,5202,5202
Trumbo,28125,9375
Long Weekend,1286,428
Marguerite,19924,6641
Rubberneck,2075,2075
War of the Buttons,4930,2465
War of the Buttons,4930,2465
Elephant,93356,15559
Concussion,8313,4157
Committed,11452,1908
Blind Date,7531273,6020
United Passions,607,61
Batkid Begins,19437,4859
Closed Circuit,2464931,2833
Death Valley,4344,2172
Hero,5210875,2853
Meet the Patels,72180,14436
Soldier,6447237,2571
The Hallow,1559,1559
The Boy and the Beast,274247,2248
This Changes Everything,9770,9770
Lotus Eaters,1715,1715
Dil Kya Kare,188732,5392
Hello Brother,245034,5976
Mast,61330,2453
Dhadkan,45380,2836
Khiladi 420,15098,1258
Kurukshetra,36890,2049
Mela,138261,4767
Refugee,160000,4000
Fiza,374708,9607
Pukar,198287,5507
Khauff,53288,3806
Match,6000,2000
Committed,11452,1908
Creed,29632823,8705
All About Evil,5070,5070
Breathing,949,949
Baby Blues,17234,17234
David and Goliath,154901,4997
Misunderstood,916967,1237
Louder Than Bombs,24259,6065
Algorithms,317,317
Heist,7823521,4137
Condemned,3807595,1648
Entertainment,5132,2566
Shelter,3464,3464
Eros,53666,4472
Love the Coopers,8317545,3195
Prem Ratan Dhan Payo,2425585,8452
King Lear,8756,8756
Iron Man,98618668,24024
Undertow,24354,4059
SlingShot,9711,9711
In Harmony,809,809
Felix and Meira,15000,15000
Vanished Empire,3328,3328
Made in France,3688,3688
The Phone,3824,3824
Pardon,1418,1418
McBain,320000,1927
Save Me,6992,6992
Terminal,19053199,6778
Eva,10395,208
Wonder Woman,103251471,24790
Rams,13289,4430
Plush,2843,284
Afterlife,11791,11791
Point Break,8514616,5272
Bloodline,6658,6658
Tangerine,60683,15171
Heart of a Dog,13893,13893
Tamasha,1006059,5528
Talvar,144713,2838
Mary Kom,370277,2664
Wolf,17911366,8460
Premam,448129,4001
Lucky,147800,3359
Truman,18258,6086
The Wave,60321,1828
Cosmos,3807,3807
The Hollow,2848,237
Weekend of a Champion,4100,2050
Weekend of a Champion,4100,2050
Truth,66232,11039
The Letters,700683,791
Christmas Eve,45260,1029
Sherlock Holmes,62304277,17183
Spirit,17770036,5357
Saw,18276468,7894
Under the Rainbow,2297493,4707
Mojave,3303,127
China Heavyweight,3792,3792
Tumbledown,7331,3666
Stranded,3077,3077
Maidan,1847,1847
Extraction,10948,842
Zoolander 2,13841146,4078
Shadey,1314,1314
Unbranded,141416,1768
How to Be Single,17878911,5348
Memories of the Sword,50240,2284
Finders Keepers,865207,1149
Shutter,10447559,3794
The Assassin,47892,11973
Troublemakers,5424,1356
Fifty Shades of Black,5900528,2844
Unlocking the Cage,3708,3708
Nocturnal Animals,492648,13315
Kung Fu Panda 3,41282042,10438
Ghost,12191540,11073
Spellbound,17508,17508
Pizza,4059,4059
Krisha,9880,4940
My Lucky Star,47006,2044
Love for Sale,3058,3058
Bajirao Mastani,1744975,5740
Worlds Apart,16353,16353
Namastey London,578224,8895
Conspiracy of Silence,2598,2598
Drop,4104552,5074
Girlfriend Boyfriend,29016,1814
Max,30157,5026
When Harry Tries to Marry,23790,5948
Blockade,5271,5271
Blockade,5271,5271
Forgotten,21022111,6772
Public Enemies,25271675,7580
Public Enemies,25271675,7580
The Club,6514,3257
Blind,12522,894
Suspect,4152015,4035
Everything Must Go,791676,3632
Bingo,2141360,2320
Noah,43720472,12257
Jane Got a Gun,835572,691
Woodlawn,4002226,2577
Captive,407804,3089
Everyday,9857,3286
Guzaarish,488121,4520
Sleepless,8344128,4628
Raavan,482760,4023
Paa,199228,2974
Rowdy Rathore,381784,3182
Khoobsurat,345085,6054
Wazir,586028,5280
Love Forecast,11600,11600
Great Expectations,9593290,5138
Tusk,846831,1407
Morning Light,129295,2351
Band of Robbers,14827,1348
Tomorrow,1480,1480
Jackpot,806,403
Bridge To Terabithia,22564612,7188
Descendents,1190096,41038
King,8927,8927
Mickey,75235,1791
A Poem is a Naked Person,5526,5526
Boulevard,7000,7000
Panic,18006,4501
A Man Called Ove,54608,6068
Decoding Deepak,9100,3033
Blind Date,7531273,6020
Graveyard Shift,5082300,3170
The Lovers and the Despot,14925,1866
Norm of the North,6844137,2839
Ride Along 2,35243095,11100
Slow Burn,778123,669
Plastic Planet,740,740
Wanted,50927085,16040
Sisters in Law,4895,4895
Eddie the Eagle,6084682,2980
Fitoor,347164,2362
Fluke,1435709,1196
Stonewall,74052,7405
Fatima,6221,6221
Bloodworth,9612,961
Big Stone Gap,362422,1294
Strangers,20997985,8515
90 Minutes in Heaven,2035273,2318
Jeruzalem,11287,11287
Horse Money,3409,3409
Medeas,3025,3025
Lazer Team,108586,3102
Alone Yet Not Alone,125775,11434
Risen,11801271,4048
Holy Hell,9238,3079
The Eagle Huntress,52574,13144
April and the Extraordinary World,11413,11413
Dirty Grandpa,11111875,3816
Joy,17015168,5875
Night Watch,585733,1952
My All American,1365000,872
The Birth of a Nation,7004254,3327
Yaadein,645615,11528
Anjaana Anjaani,517608,5688
Me Before You,18723269,6924
Touched with Fire,16816,2803
Neither Heaven Nor Earth,2836,2836
Miles Ahead,114530,28633
Gods of Egypt,14123903,4531
Embrace of the Serpent,50955,16985
Neerja,626528,8583
Providence,6193,885
Of Mind and Music,932,932
London Has Fallen,21635601,6199
Desierto,514282,7045
The Perfect Match,4294232,4642
Grimsby,3258327,1458
James White,12007,12007
Lagerfeld Confidential,11477,11477
A War,9095,1819
Top Spin,2177,2177
God Loves Uganda,7300,7300
From Afar,5136,5136
Valley of Love,9849,4925
In the Shadow of Women,10431,5216
Lolo,4242,4242
Road,73636,4331
Saathiya,71400,2462
Kaante,425975,16383
Southbound,6250,1563
Cabin Fever,8633585,4136
The Commune,9249,1321
Black Out,1749,175
Ip Man 3,784839,7620
Bhagam Bhag,252988,4960
Balls to the Wall,3140,314
Good Luck,39962,377
Black Sea,37675,7535
Infliction,816,816
Mastizaade,29878,650
Khushi,140000,4666
Ode to My Father,33880,33880
Cousin Jules,5135,5135
Khakee,212656,4725
Fida,98297,3276
Asambhav,19504,1300
Run,2222056,1894
Capture the Flag,6690,335
Glastonbury,1179,1179
Kaal,164108,4102
Deewane Huye Paagal,145780,3037
No Entry,312000,6500
Kalyug,1435,287
Twilight Zone,6614366,5187
Room,1840,1840
You Wont Miss Me,2240,2240
Parental Guidance,14554053,4323
Details,18528,1323
Silent Waters,1617,1617
Fallen,10401586,4249
Oblivion,37054485,9795
Fear,6312240,3985
Atlantis,329011,164505
Parents,277952,2956
Chronic,2403,1202
Water and Power,39428,2464
Bachna Ae Haseeno,322431,4541
Fashion,105812,2645
Dostana,645604,8724
Krazzy 4,322426,5464
Bhoothnath,330246,5160
Tashan,301226,4016
Loverboy,1653102,1518
All The Best,96054,1746
The Last Man on the Moon,30880,2375
Dabangg,628137,10131
Khatta Meetha,309211,3725
Golmaal 3,626432,7284
No One Killed Jessica,227473,4739
Bodyguard,16611793,9674
Ghost,12191540,11073
Blackbird,6200284,3466
Straight Story,92312,13187
Twist,3887,3887
Ek Thi Daayan,65857,1401
Shattered Glass,77540,9692
The Snowman,3372565,1861
Ma Ma,28402310,10730
Singham Returns,654045,5150
Raja Natwarlal,83669,1146
2 States,1073898,7955
Heropanti,32831,2052
Roar,15064,3013
Intoxicating,6686,2228
Dreamland,4350,870
Lyrical Nitrate,4710,4710
On the Bowery,13236,13236
Found Memories,3874,3874
Dad,540148,5048
Champion,108591,3503
Champion,108591,3503
Darkness,6163306,3625
Kaili Blues,4164,4164
Mother,137701,22950
Francofonia,22083,11042
Wind,2204590,2245
Remember,20489,10245
Stranded,3077,3077
Blood Ties,2760,2760
Better Mus Come,6140,3070
Girl Asleep,2567,2567
The Neon Demon,589014,752
Take Me to the River,25588,2132
Evolution,13408351,5135
Sunset Song,12995,4332
Asura,21253,10627
Kick,1071373,5952
Hide and Seek,21959233,7307
The Iron Ministry,896,299
Dil Dhadakne Do,1326267,5573
Eye in the Sky,113803,22761
Yosemite,4461,2231
"Hello, My Name Is Doris",84986,21247
Back Stage,496226,1541
Master Minds,1014606,855
Roar,15064,3013
Mademoiselle C,14284,2381
Miracles from Heaven,14812393,4861
Sugar Hill,5712485,6760
Under the Shadow,13565,969
Florence Foster Jenkins,6601313,4320
Disorder,11699,5850
My Big Fat Greek Wedding 2,17861950,5701
Born to Be Blue,46184,15395
Neon Bull,6413,6413
