title, weekend_rev, weekend_rev_mean
Stand by Me,242795,15174
Groundhog Day,12517672,7632
Unforgiven,15018007,7251
Pump up the Volume,1601489,2004
Back to the Future,11152500,7853
Fried Green Tomatoes,105317,21063
Akira,11263,5631
Highlander,2453021,2358
Night on Earth,34039,17019
Raise the Red Lantern,22554,22554
Heathers,177247,5064
Somewhere in Time,1203011,3260
This Is Spinal Tap,30835,10278
Some Kind of Wonderful,3486701,3222
Indiana Jones and the Last Crusade,29355021,12614
Gandhi,131153,32788
Real Genius,2557180,2583
My Life as a Dog,11667,11667
Field of Dreams,531346,24152
Until the End of the World,38553,9638
Santa with Muscles,120932,1234
Breathing Room,7750,7750
Blue Juice,2750,1375
Body Parts,3032258,2305
Dracula,23514615,8151
Candyman,5404320,4320
Cape Fear,10261025,11105
Cape Fear,10261025,11105
Cat People,1617636,2696
Blood and Wine,420993,2536
Albino Alligator,101176,8431
Nightwatch,585733,1952
Shine,162179,23168
Sling Blade,28139,9379
Jingle All the Way,12112267,5044
Zero Kelvin,3740,3740
Die Hard 2,21744661,8673
Batman Returns,45687711,17279
Young Guns,7011393,5055
Grease,8941717,10373
Grease 2,4645411,3716
Marked for Death,11790047,5990
Under Siege,15760003,7717
Jaws,7061513,17265
Jaws 2,9866023,15415
My Fellow Americans,2860334,1493
Citizen Ruth,26709,4451
Jerry Maguire,17084296,6750
Raising Arizona,36240,36240
Tin Men,187381,20820
Sneakers,10031145,5795
In Love and War,2515,2515
Ghosts of Mississippi,168012,8000
Night Falls on Manhattan,2933255,3869
Scream,6354586,4497
Michael,17435711,8143
Mother,137701,22950
Thieves,136993,12454
Evita,195085,97542
Murder at 1600,7962268,3699
Fierce Creatures,3759480,2360
Turbulence,4464008,2131
First Strike,5778933,4299
Underworld,21753759,7462
Beverly Hills Ninja,12220920,5786
Metro,11411107,5702
Meet Wally Sparks,2131001,1373
Prefontaine,311253,1548
Guantanamera,8851,2950
Kolya,445598,3481
Waiting for Guffman,37990,12663
Prisoner of the Mountains,17205,5735
SubUrbia,69365,4335
Hotel de Love,50947,2830
Fools Rush In,8588068,5130
Touch,195236,3828
Absolute Power,14678016,5715
That Darn Cat,6424617,3397
Vegas Vacation,12837927,6250
That Old Feeling,5103075,3240
Lost Highway,212710,17725
Rosewood,3154075,3182
Donnie Brasco,11660216,7757
Booty Call,6429364,5054
Boys Life 2,56224,14056
City of Industry,803811,1822
Jungle 2 Jungle,12812047,5531
Private Parts,14616333,6836
Love Jones,3908725,4766
Crash,738339,17579
Liar Liar,31423025,11045
Selena,11615722,6278
Love and Other Catastrophes,22807,7602
Anna Karenina,75268,15053
Double Team,5034914,2285
Inventing the Abbotts,2301138,2562
Anaconda,16620887,6767
Grosse Pointe Blank,6870397,5599
Keys to Tulsa,28318,1179
8 Heads in a Duffel Bag,2024516,1303
Hollow Reed,13284,13284
Traveller,30855,5142
A Chef in Love,36628,6104
Temptress Moon,66471,13294
Volcano,14581740,5256
Children of the Revolution,31562,5260
Breakdown,12307128,5838
Broken English,55198,7885
Commandments,312437,1161
Warriors of Virtue,3277084,1559
Intimate Relations,12918,2153
Nowhere,27354,13677
Losing Chase,31176,3117
Sprung,2487702,3189
Twin Town,6827,6827
Addicted to Love,11446098,5703
Brassed Off,52534,4377
Schizopolis,6023,3011
Shiloh,115710,1653
Rough Magic,59026,2108
Trial and Error,4903529,2133
Buddy,3504671,1658
Con Air,24131738,8545
Squeeze,1380800,1198
Dream with the Fishes,31777,4539
Head Above Water,11589,1158
Hercules,249567,249567
Fall,12045,12045
Men in Black,51068455,16910
Out to Sea,5887675,3391
Wild America,1810586,999
Contact,20584908,10704
