title,num_peaks,search_mean,search_volume,budget,genres,original_language,production_companies,production_countries,release_date,runtime,weekend_rev,weekend_rev_mean,num_theaters,success,day,month,holiday,year,log_budget,log_weekend_rev,log_weekend_rev_mean,views,likes,dislikes,dt_main,dt_trailers,dt_trailers_cat,views_proxy,like_score,like_score_proxy,log_views,log_like_score,log_search_mean,log_search_volume,log_views_proxy,log_like_score_proxy
Fifty Shades of Grey,1,4.981132075471698,264,40000000,"['Drama', 'Romance', 'Thriller']",en,"['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']",['United States of America'],2015-02-11,125.0,85171450,23360,3646.0,2.12928625,Wed,Feb,Yes,2015,7.602059991327962,7.930294040947977,4.368472838440361,6629527.875,22026.25,1859.25,206,0,zero,1053768.0,6113484.681363955,971742.5806451613,6.821482601016665,6.786288828326596,0.697328057269042,2.4216039268698313,6.022745006122865,13.786846213640466
Filth,2,9.288461538461538,483,5000000,"['Crime', 'Drama', 'Comedy']",en,"['Egoli Tossell Film AG', 'Steel Mill Pictures', 'Entre Chien et Loup', 'Filmgate Films', 'Logie Pictures', 'Altitude Film Entertainment', 'Film House Germany', 'Maven Pictures']","['United Kingdom', 'United States of America', 'Germany', 'Sweden', 'Belgium']",2013-09-23,97.0,7526,2509,3.0,0.0015052,Mon,Sep,Yes,2013,6.698970004336019,3.876564213983845,3.3995006613146104,22892.0,6.0,1.0,169,-63,neg,2192.0,19621.714285714286,1878.857142857143,4.3596837372363515,4.292736947605738,0.9679437871167129,2.683947130751512,3.3408405498123317,7.538418968240648
Final Destination 5,1,8.865384615384615,461,47000000,"['Horror', 'Mystery']",en,"['New Line Cinema', 'Practical Pictures', 'Parallel Zide']",['United States of America'],2011-08-12,92.0,18031396,5715,3155.0,0.3836467234042553,Fri,Aug,No,2011,7.672097857935718,7.256029351327343,3.7570162347313008,882039.0,1492.0,257.0,96,0,zero,34351.0,752431.2109777016,29303.42595769011,5.9454877882047645,5.876466801862738,0.947697581754849,2.663700925389648,4.535939384427896,10.285459715053365
Fire with Fire,4,30.81132075471698,1633,20000000,"['Action', 'Crime', 'Drama', 'Thriller']",en,"['Industry Entertainment', 'Grindstone Entertainment Group', 'Cheetah Vision', 'Mandalay Vision', 'Paradox Entertainment', 'Emmett/Furla Films', 'Envision Entertainment', 'Knightsbridge Entertainment']",['United States of America'],2012-08-31,97.0,1770043,1770,1000.0,0.08850215,Fri,Aug,No,2012,7.301029995663981,6.247983816890557,3.2479732663618064,42695.0,35.0,1.0,257,-98,neg,4896.0,41509.02777777778,4760.0,4.6303770178925925,4.61814256147558,1.4887103151358791,3.212986184736668,3.6898414091375047,8.468002947225466
Fist Fight,2,10.773584905660377,571,20000000,['Comedy'],en,"['New Line Cinema', 'Village Roadshow Pictures', '21 Laps Entertainment', 'Wrigley Pictures', 'Van Brand']",['United States of America'],2017-02-16,91.0,12201873,3831,3185.0,0.61009365,Thu,Feb,Yes,2017,7.301029995663981,7.0864265004395,3.583312151983077,2666283.0,7315.75,438.75,74,77,pos,797245.0,2515424.573763621,752136.8378038558,6.425906243658315,6.4006112993245114,1.032360238645059,2.756636108245848,5.901591804203214,13.530673551543027
Flight,4,37.943396226415096,2011,31000000,['Drama'],en,"['Paramount Pictures', 'Parkes/MacDonald Productions', 'ImageMovers']",['United States of America'],2012-11-02,138.0,24900566,13217,1884.0,0.8032440645161291,Fri,Nov,Yes,2012,7.491361693834272,7.396209218898267,4.1211328899984085,298246.0,641.0,24.0,145,-91,neg,20932.0,287482.23458646616,20176.55939849624,5.474574627733572,5.4586110119492846,1.5791362009959529,3.303412070596742,4.320810726067628,9.912276783756914
Flipped,5,9.673076923076923,503,14000000,"['Romance', 'Drama']",en,['Reiner / Greisman Productions'],['United States of America'],2010-08-06,89.0,224233,4983,45.0,0.016016642857142858,Fri,Aug,No,2010,7.146128035678237,5.350699527363608,3.697490887171057,6855.5,6.0,0.5,47,91,pos,329.0,6328.153846153846,303.6923076923077,3.8360391351754273,3.8012770289162154,0.9855646414211282,2.7015679850559273,2.5171958979499744,5.7160150430918355
Florence Foster Jenkins,2,10.51923076923077,547,29000000,"['Comedy', 'Drama']",en,"['BBC Films', 'Qwerty Films', 'Pathé']","['United Kingdom', 'United States of America']",2016-05-06,110.0,6601313,4320,1528.0,0.2276314827586207,Fri,May,Yes,2016,7.4623979978989565,6.819630325230018,3.635483746814912,367291.66666666674,589.6666666666666,22.33333333333333,82,0,zero,41715.0,353888.3215323167,40192.720588235294,5.565011074923735,5.548866230968234,1.0219839826986317,2.737987326333431,4.620292247919841,10.601441178315524
Focus,4,21.79245283018868,1155,50100000,"['Romance', 'Comedy', 'Crime', 'Drama']",en,"['Kramer & Sigman Films', 'RatPac-Dune Entertainment', 'Zaftig Films']",['United States of America'],2015-02-25,105.0,24139,12069,2.0,0.00048181636726546905,Wed,Feb,Yes,2015,7.699837725867247,4.382719274730779,4.081671287290924,2420675.5,3711.0,317.5,143,-77,neg,283968.0,2229893.702494725,261587.50105498324,6.383936574652415,6.348284161021131,1.338306114627374,3.062581984228163,5.4532694027004425,12.474524118581929
Foxcatcher,1,8.961538461538462,466,24000000,"['Drama', 'Thriller']",en,"['Likely Story', 'Media Rights Capital', 'Annapurna Pictures']",['United States of America'],2014-05-19,134.0,270877,45146,6.0,0.011286541666666669,Mon,May,Yes,2014,7.380211241711607,5.4327721309204255,4.654619277243466,61415.4,84.0,5.2,239,0,zero,9191.0,57835.130044843056,8655.201793721973,4.788277284763667,4.762191716449426,0.952382573055201,2.66838591669,3.963362766103736,9.065915782615459
